datetime,stock_code,exchange_code,open,high,low,close,volume,count
2023-09-06 13:05:00,JIOFIN,NSE,250.65,250.9,250.55,250.85,2277,47
2023-09-06 13:10:00,JIOFIN,NSE,250.85,251,250.65,250.85,4218,48
2023-09-06 13:15:00,JIOFIN,NSE,250.9,251.3,250.65,251.1,4513,49
2023-09-06 13:20:00,JIOFIN,NSE,251.15,251.9,251.15,251.4,9752,50
2023-09-06 13:25:00,JIOFIN,NSE,251.45,251.95,251.25,251.75,7261,51
2023-09-06 13:30:00,JIOFIN,NSE,251.9,251.95,251.15,251.15,4935,52
2023-09-06 13:35:00,JIOFIN,NSE,251.25,251.4,250.15,250.6,13153,53
2023-09-06 13:40:00,JIOFIN,NSE,250.65,250.9,250.3,250.35,7628,54
2023-09-06 13:45:00,JIOFIN,NSE,250.4,250.95,250.35,250.95,4273,55
2023-09-06 13:50:00,JIOFIN,NSE,250.75,251.4,250.6,251.15,2816,56
2023-09-06 13:55:00,JIOFIN,NSE,251.1,251.65,251.05,251.35,7886,57
2023-09-06 14:00:00,JIOFIN,NSE,251.4,251.75,251,251.65,4214,58
2023-09-06 14:05:00,JIOFIN,NSE,251.55,251.75,251.05,251.2,11255,59
2023-09-06 14:10:00,JIOFIN,NSE,251.25,251.75,250.5,251.1,17939,60
2023-09-06 14:15:00,JIOFIN,NSE,251.1,251.15,250.4,250.55,9037,61
2023-09-06 14:20:00,JIOFIN,NSE,250.5,251.05,250.35,250.6,15527,62
2023-09-06 14:25:00,JIOFIN,NSE,250.65,250.85,250.35,250.65,3945,63
2023-09-06 14:30:00,JIOFIN,NSE,250.65,250.85,250.35,250.6,8555,64
2023-09-06 14:35:00,JIOFIN,NSE,250.5,250.8,249.2,249.7,43189,65
2023-09-06 14:40:00,JIOFIN,NSE,249.7,250.9,249.5,250.8,86437,66
2023-09-06 14:45:00,JIOFIN,NSE,250.85,250.85,250,250.1,43381,67
2023-09-06 14:50:00,JIOFIN,NSE,250.05,250.6,249.5,250.25,42332,68
2023-09-06 14:55:00,JIOFIN,NSE,250.25,250.45,250,250,92739,69
2023-09-06 15:00:00,JIOFIN,NSE,250,250.3,246.25,249.4,142451,70
